S_path,S_translate,S_stage
Data\Signs\A.png,A,1
Data\Signs\B.png,B,1
Data\Signs\C.png,C,1
Data\Signs\D.png,D,1
Data\Signs\E.png,E,1
Data\Signs\F.png,F,1
Data\Signs\G.png,G,1
Data\Signs\H.png,H,1
Data\Signs\I.png,I,1
Data\Signs\J.png,J,1
Data\Signs\K.png,K,1
Data\Signs\L.png,L,1
Data\Signs\M.png,M,1
Data\Signs\N.png,N,1
Data\Signs\O.png,O,1
Data\Signs\P.png,P,1
Data\Signs\Q.png,Q,1
Data\Signs\R.png,R,1
Data\Signs\S.png,S,1
Data\Signs\T.png,T,1
Data\Signs\U.png,U,1
Data\Signs\V.png,V,1
Data\Signs\W.png,W,1
Data\Signs\X.png,X,1
Data\Signs\Y.png,Y,1
Data\Signs\Z.png,Z,1
