,Address
0,['Data\\Signs\\I.png']
1,['Data\\Signs\\I.png']
2,['Data\\Signs\\I.png']
3,['Data\\Signs\\I.png']
4,['Data\\Signs\\We.png']
5,['Data\\Signs\\We.png']
6,['Data\\Signs\\We.png']
7,['Data\\Signs\\We.png']
8,['Data\\Signs\\You.png']
9,['Data\\Signs\\You.png']
10,['Data\\Signs\\You.png']
11,['Data\\Signs\\I.png']
12,['Data\\Signs\\We.png']
13,['Data\\Signs\\We.png']
14,['Data\\Signs\\We.png']
15,['Data\\Signs\\No.png']
16,['Data\\Signs\\No.png']
17,['Data\\Signs\\Yes.png']
18,['Data\\Signs\\No.png']
19,['Data\\Signs\\Yes.png']
20,['Data\\Signs\\No.png']
21,['Data\\Signs\\I.png']
22,['Data\\Signs\\You.png']
23,['Data\\Signs\\Close.png']
24,['Data\\Signs\\No.png']
25,['Data\\Signs\\You.png']
26,['Data\\Signs\\Yes.png']
27,['Data\\Signs\\I.png']
28,['Data\\Signs\\Close.png']
29,['Data\\Signs\\You.png']
30,['Data\\Signs\\We.png']
31,['Data\\Signs\\I.png']
32,['Data\\Signs\\Sorry.png']
33,['Data\\Signs\\Sorry.png']
34,['Data\\Signs\\I.png']
35,['Data\\Signs\\You.png']
36,['Data\\Signs\\Close.png']
37,['Data\\Signs\\Sorry.png']
38,['Data\\Signs\\No.png']
39,['Data\\Signs\\Yes.png']
40,['Data\\Signs\\You.png']
41,['Data\\Signs\\We.png']
42,['Data\\Signs\\We.png']
43,['Data\\Signs\\You.png']
44,['Data\\Signs\\We.png']
45,['Data\\Signs\\You.png']
46,['Data\\Signs\\Sorry.png']
47,['Data\\Signs\\Thank_You.png']
48,['Data\\Signs\\I.png']
49,['Data\\Signs\\Hello.png']
50,['Data\\Signs\\Hello.png']
51,['Data\\Signs\\Close.png']
52,['Data\\Signs\\No.png']
53,['Data\\Signs\\Thank_You.png']
54,['Data\\Signs\\No.png']
55,['Data\\Signs\\We.png']
56,['Data\\Signs\\Please.png']
57,['Data\\Signs\\You.png']
58,['Data\\Signs\\Please.png']
59,['Data\\Signs\\I.png']
60,['Data\\Signs\\No.png']
61,['Data\\Signs\\Water.png']
62,['Data\\Signs\\Drink.png']
63,['Data\\Signs\\Eat.png']
64,['Data\\Signs\\Hello.png']
65,['Data\\Signs\\Water.png']
66,['Data\\Signs\\Close.png']
67,['Data\\Signs\\Close.png']
68,['Data\\Signs\\Good.png']
69,['Data\\Signs\\Thank_You.png']
70,['Data\\Signs\\Water.png']
71,['Data\\Signs\\Yes.png']
72,['Data\\Signs\\Eat.png']
73,['Data\\Signs\\You.png']
74,['Data\\Signs\\Sorry.png']
75,['Data\\Signs\\Bad.png']
76,['Data\\Signs\\We.png']
77,['Data\\Signs\\Thank_You.png']
78,['Data\\Signs\\Please.png']
79,['Data\\Signs\\Hello.png']
80,['Data\\Signs\\No.png']
81,['Data\\Signs\\Thank_You.png']
82,['Data\\Signs\\Good.png']
83,['Data\\Signs\\Please.png']
84,['Data\\Signs\\Need.png']
85,['Data\\Signs\\Want.png']
86,['Data\\Signs\\No.png']
87,['Data\\Signs\\Please.png']
88,['Data\\Signs\\Good.png']
89,['Data\\Signs\\Need.png']
90,['Data\\Signs\\Go.png']
91,['Data\\Signs\\Want.png']
92,['Data\\Signs\\Want.png']
93,['Data\\Signs\\Yes.png']
94,['Data\\Signs\\Stop.png']
95,['Data\\Signs\\Drink.png']
96,['Data\\Signs\\You.png']
97,['Data\\Signs\\Need.png']
98,['Data\\Signs\\Go.png']
99,['Data\\Signs\\You.png']
100,['Data\\Signs\\Stop.png']
101,['Data\\Signs\\No.png']
102,['Data\\Signs\\No.png']
103,['Data\\Signs\\Sorry.png']
104,['Data\\Signs\\Eat.png']
105,['Data\\Signs\\Yes.png']
106,['Data\\Signs\\Hurt.png']
107,['Data\\Signs\\Water.png']
108,['Data\\Signs\\Water.png']
109,['Data\\Signs\\Thank_You.png']
110,['Data\\Signs\\Love.png']
111,['Data\\Signs\\Hurt.png']
112,['Data\\Signs\\Hello.png']
113,['Data\\Signs\\No.png']
114,['Data\\Signs\\Deaf.png']
115,['Data\\Signs\\Please.png']
116,['Data\\Signs\\Eat.png']
117,['Data\\Signs\\Need.png']
118,['Data\\Signs\\Please.png']
119,['Data\\Signs\\Help.png']
120,['Data\\Signs\\Who.png']
121,['Data\\Signs\\Want.png']
122,['Data\\Signs\\Need.png']
123,['Data\\Signs\\Go.png']
124,['Data\\Signs\\Deaf.png']
125,['Data\\Signs\\Love.png']
126,['Data\\Signs\\Please.png']
127,['Data\\Signs\\I.png']
128,['Data\\Signs\\Thank_You.png']
129,['Data\\Signs\\Water.png']
130,['Data\\Signs\\Who.png']
131,['Data\\Signs\\Help.png']
132,['Data\\Signs\\When.png']
133,['Data\\Signs\\Hello.png']
134,['Data\\Signs\\Deaf.png']
135,['Data\\Signs\\Open.png']
136,['Data\\Signs\\Need.png']
137,['Data\\Signs\\I.png']
138,['Data\\Signs\\Water.png']
139,['Data\\Signs\\Play.png']
140,['Data\\Signs\\Who.png']
141,['Data\\Signs\\Want.png']
142,['Data\\Signs\\Hello.png']
143,['Data\\Signs\\Love.png']
144,['Data\\Signs\\I.png']
145,['Data\\Signs\\Want.png']
146,['Data\\Signs\\Hello.png']
147,['Data\\Signs\\I.png']
148,['Data\\Signs\\Bad.png']
149,['Data\\Signs\\Open.png']
